Date,y_test_percent,sigma_real_abs_rt,sigma_pred_garch_expanding
2018-12-01,-884.03,884.03,337.2717192087769
2019-01-01,636.93,636.93,502.27635902009365
2019-02-01,315.83,315.83,501.6677627381899
2019-03-01,52.93000000000001,52.93000000000001,457.562885500654
2019-04-01,195.23,195.23,414.2175875350882
2019-05-01,-506.32,506.32,381.1364022100452
2019-06-01,682.97,682.97,423.99968473768956
2019-07-01,156.73999999999998,156.73999999999998,452.01573510750444
2019-08-01,-246.66000000000003,246.66000000000003,410.5414870946482
2019-09-01,291.45,291.45,399.45380035366924
2019-10-01,200.35,200.35,375.3884138157034
2019-11-01,365.44,365.44,350.18116277911514
2019-12-01,397.83,397.83,343.8156602950793
2020-01-01,-77.14,77.14,342.93479494037257
2020-02-01,-911.0799999999999,911.0799999999999,328.5537191945476
2020-03-01,-1106.24,1106.24,497.7945121856803
2020-04-01,1275.4099999999999,1275.4099999999999,667.6889264429514
2020-05-01,427.25,427.25,778.9126236511395
2020-06-01,283.64,283.64,688.3277215829675
2020-07-01,740.66,740.66,606.4407935621447
2020-08-01,885.5600000000001,885.5600000000001,598.2986849078603
2020-09-01,-496.35999999999996,496.35999999999996,622.5531719133081
2020-10-01,-331.67,331.67,601.2776031880687
2020-11-01,1166.71,1166.71,559.0040412118746
2020-12-01,562.43,562.43,670.8058600634977
2021-01-01,143.44,143.44,618.1472234119149
2021-02-01,-29.18,29.18,543.2931375044205
2021-03-01,493.40999999999997,493.40999999999997,484.92710033622114
2021-04-01,373.28000000000003,373.28000000000003,464.2719742625162
2021-05-01,24.64,24.64,432.50211997998747
2021-06-01,286.28999999999996,286.28999999999996,392.2919210871531
2021-07-01,141.41,141.41,366.52891512848896
2021-08-01,198.55,198.55,337.28302604294487
2021-09-01,-389.01,389.01,315.7808219163882
2021-10-01,444.89,444.89,363.657711087487
2021-11-01,189.85,189.85,365.6844715736365
2021-12-01,652.97,652.97,339.72485021243136
2022-01-01,-56.37,56.37,391.61573096340265
2022-02-01,-205.73999999999998,205.73999999999998,364.68169477341326
2022-03-01,490.54,490.54,360.35531893018975
2022-04-01,-597.29,597.29,370.6569059858356
2022-05-01,133.73,133.73,447.80392189946974
2022-06-01,-1001.78,1001.78,404.0508531207875
2022-07-01,492.83000000000004,492.83000000000004,591.4988301672751
2022-08-01,-233.91000000000003,233.91000000000003,546.2425886463997
2022-09-01,-918.97,918.97,503.41355977516776
2022-10-01,1263.24,1263.24,623.5389947826461
2022-11-01,585.86,585.86,751.0404020029579
2022-12-01,-380.05,380.05,682.0567277814876
2023-01-01,285.40000000000003,285.40000000000003,627.8127227841973
2023-02-01,-324.92,324.92,554.1958743399526
2023-03-01,-37.36,37.36,521.335638752426
2023-04-01,94.4,94.4,465.4701834357324
2023-05-01,-445.5,445.5,416.2288089142406
2023-06-01,583.4399999999999,583.4399999999999,443.1936345261279
2023-07-01,334.75,334.75,449.9596681188621
2023-08-01,-263.66999999999996,263.66999999999996,416.85995955171506
2023-09-01,-482.44999999999993,482.44999999999993,408.061547462071
2023-10-01,-360.63,360.63,445.4501537648262
2023-11-01,691.1400000000001,691.1400000000001,445.34266219439746
2023-12-01,603.62,603.62,475.2702336668891
2024-01-01,72.64999999999999,72.64999999999999,477.2269169252498
2024-02-01,373.57,373.57,426.24772934540795
2024-03-01,431.30000000000007,431.30000000000007,403.0086257779558
2024-04-01,-534.29,534.29,393.31669151193717
2024-05-01,293.44,293.44,449.22372806643835
2024-06-01,225.89999999999998,225.89999999999998,412.69508393955755
2024-07-01,-25.430000000000003,25.430000000000003,379.0528309005361
2024-08-01,207.66,207.66,352.08738709509214
2024-09-01,155.95000000000002,155.95000000000002,329.95546854357366
2024-10-01,217.37,217.37,309.7870482491252
2024-11-01,470.94999999999993,470.94999999999993,297.2159032195788
2024-12-01,-538.41,538.41,325.9456115394864
2025-01-01,-121.46,121.46,408.8121536703166
2025-02-01,206.73,206.73,382.9180871246632
2025-03-01,-737.49,737.49,354.5991571960681
2025-04-01,-215.51999999999998,215.51999999999998,481.128402772267
2025-05-01,1053.57,1053.57,449.5453137630284
2025-06-01,752.39,752.39,577.5709703577048
2025-07-01,44.1,44.1,582.2977549028129
2025-08-01,224.5,224.5,511.24971116791596
2025-09-01,90.16999999999999,90.16999999999999,457.6108820274728
2025-10-01,-137.86,137.86,411.4388602112903
2025-11-01,166.82999999999998,166.82999999999998,387.2900989274092
2025-12-01,55.089999999999996,55.089999999999996,355.79802484853803
